ID,Título,Categoria,Status,Versão / Sistema,Unnamed: 5
1530,Horário da nota diferente do horário do computador,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1531,Importando atualização de estoque,Integrações,Publicado,Clipp Store 2020,
1532,IMPORTANTE! - Atualização de Cadeias SEFAZ/CE,MFe,Publicado,Clipp Store 2020,
1533,eCommerce C4 - Configurar Sub-domínio/Domínio,Integrações,Publicado,Clipp Store 2020,
1534,Rejeição: Contranota de produtor não pode referenciar somente nota fiscal de entrada,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1535,BRBackup - Backup em Nuvem,Diversos,Publicado,Clipp Store 2020,
1537,[FireDAC][Phys][FB] lock conflict on no wait transaction deadlock update conflicts with concurrent - Ao abrir sistema,Instalação,Publicado,Clipp Store 2020,
1540,Erro 740: A operação solicitada requer elevação,Inicialização do programa,Publicado,Clipp Store 2020,
1541,Cadastrando administradora de cartão de crédito/débito,Cadastros,Publicado,Clipp Store 2020,
1542,Gráfico no Painel do Parceiro,Base de Dados,Publicado,Clipp Store 2020,
1543,Consulta de dados,Integrações,Publicado,Clipp Store 2020,
1544,434 - Rejeição: NF-e sem indicativo do intermediador,Nota Fiscal Eletrônica - NFe,Incompleto,Clipp Store 2020,
1545,Relatório de Resultados,Relatórios,Publicado,Clipp Store 2020,
1547,Nota Técnica 2020.006 - v.1.00 - Dados do intermediador ou agenciador da operação comercial,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1549,RNTRC deve estar associado ao transportador indicado ou RNTRC inválido.,CT-e,Publicado,Clipp Store 2020,
1551,Preenchimento do TTD 707 - Tratamento Tributário Diferenciado (SC) para utilizar a NFC-e em SC,Nota Fiscal do Consumidor Eletrônica - NFCe,Publicado,Clipp Store 2020,
1552,Falha no Schema NFe - tPag element is invalid,Nota Fiscal Eletrônica - NFe,Publicado,Clipp Store 2020,
1555,Relatório de Movimento por Conta,Relatórios,Publicado,Clipp Store 2020,
